saleinvcode,CustomerRef,date,invdiscperc,flatdisc,misccharges,invsalestax,remarks,looseqty,packqty,price,itemdiscperc,packunits,batch,expiry,salestax,itemname,datestring,customer,rowid
252823,,3/1/23 8:19,0,0,0,0,,1,0,45,0,1,.,12/12/24 0:00,0,NESTLE 0.5LTR,1/3/2023,****CASH SALES CUSTOMER,493859
252823,,3/1/23 8:19,0,0,0,0,,1,0,645.21,0,1,.,8/1/26 0:00,0,FLUANXOL DEPOT 40MG INJ,1/3/2023,****CASH SALES CUSTOMER,493860
252824,,3/1/23 8:19,10,0,0,0,,1,0,12.02,0,14,.,8/1/24 0:00,0,ZESTRIL 5MG TAB,1/3/2023,****CASH SALES CUSTOMER,493861
252824,,3/1/23 8:19,10,0,0,0,,1,0,10.35,0,14,.,11/1/24 0:00,0,TENORMIN 50MG TAB,1/3/2023,****CASH SALES CUSTOMER,493862
252824,,3/1/23 8:19,10,0,0,0,,1,0,2.26,0,600,.,8/1/25 0:00,0,DISPRIN 300MG TAB (600'S),1/3/2023,****CASH SALES CUSTOMER,493863
252824,,3/1/23 8:19,10,0,0,0,,1,0,10,0,10,.,6/1/24 0:00,0,KESTORE 5MG TAB,1/3/2023,****CASH SALES CUSTOMER,493864
252825,,3/1/23 8:21,0,0,0,0,,1,0,240,0,1,.,12/12/24 0:00,0,PONDS LOTION (S),1/3/2023,****CASH SALES CUSTOMER,493865
252826,,3/1/23 8:26,0,0,0,0,,20,0,9.44,0,30,.,4/1/25 0:00,0,CARDNIT 6.4MG TAB,1/3/2023,****CASH SALES CUSTOMER,493866
252826,,3/1/23 8:26,0,0,0,0,,14,0,19.64,3,14,.,10/1/25 0:00,0,CONCOR 5MG TAB NEW PRICE,1/3/2023,****CASH SALES CUSTOMER,493867
252826,,3/1/23 8:26,0,0,0,0,,10,0,9.5,4,30,.,11/1/24 0:00,0,NIMS TAB NEW(30S),1/3/2023,****CASH SALES CUSTOMER,493868
252826,,3/1/23 8:26,0,0,0,0,,10,0,2.35,0,200,.,12/12/24 0:00,0,PANADOL TAB,1/3/2023,****CASH SALES CUSTOMER,493869
252827,,3/1/23 8:27,0,0,0,0,,1,0,132,0,10,..,12/12/24 0:00,0,DR KOFF HONEY/LEMON LOZENGES 6'S,1/3/2023,****CASH SALES CUSTOMER,493870
252828,,3/1/23 8:29,0,0,0,0,,1,0,184.48,0,1,.,11/1/24 0:00,0,BETAGAN (BETABAR) E/D 5ML,1/3/2023,****CASH SALES CUSTOMER,493871
